word,tag,category,subcategory,type,gender,number
avi,NOUN-ANIM,Noun,Animate,Animate,M,Singular
àvia,NOUN-ANIM,Noun,Animate,Animate,F,Singular
avis,NOUN-ANIM,Noun,Animate,Animate,M,Plural
àvies,NOUN-ANIM,Noun,Animate,Animate,F,Plural
gos,NOUN-ANIM,Noun,Animate,Animate,M,Singular
gossa,NOUN-ANIM,Noun,Animate,Animate,F,Singular
gossos,NOUN-ANIM,Noun,Animate,Animate,M,Plural
gosses,NOUN-ANIM,Noun,Animate,Animate,F,Plural
gat,NOUN-ANIM,Noun,Animate,Animate,M,Singular
gata,NOUN-ANIM,Noun,Animate,Animate,F,Singular
gats,NOUN-ANIM,Noun,Animate,Animate,M,Plural
gates,NOUN-ANIM,Noun,Animate,Animate,F,Plural
amic,NOUN-ANIM,Noun,Animate,Animate,M,Singular
amiga,NOUN-ANIM,Noun,Animate,Animate,F,Singular
amics,NOUN-ANIM,Noun,Animate,Animate,M,Plural
amigues,NOUN-ANIM,Noun,Animate,Animate,F,Plural
professor,NOUN-ANIM,Noun,Animate,Animate,M,Singular
professora,NOUN-ANIM,Noun,Animate,Animate,F,Singular
professors,NOUN-ANIM,Noun,Animate,Animate,M,Plural
professores,NOUN-ANIM,Noun,Animate,Animate,F,Plural
nen,NOUN-ANIM,Noun,Animate,Animate,M,Singular
nena,NOUN-ANIM,Noun,Animate,Animate,F,Singular
nens,NOUN-ANIM,Noun,Animate,Animate,M,Plural
nenes,NOUN-ANIM,Noun,Animate,Animate,F,Plural
germà,NOUN-ANIM,Noun,Animate,Animate,M,Singular
germana,NOUN-ANIM,Noun,Animate,Animate,F,Singular
germans,NOUN-ANIM,Noun,Animate,Animate,M,Plural
germanes,NOUN-ANIM,Noun,Animate,Animate,F,Plural
oncle,NOUN-ANIM,Noun,Animate,Animate,M,Singular
tia,NOUN-ANIM,Noun,Animate,Animate,F,Singular
oncles,NOUN-ANIM,Noun,Animate,Animate,M,Plural
ties,NOUN-ANIM,Noun,Animate,Animate,F,Plural
fill,NOUN-ANIM,Noun,Animate,Animate,M,Singular
filla,NOUN-ANIM,Noun,Animate,Animate,F,Singular
