word,tag,category,subcategory,type
abuelo,NOUN-ANIM,Noun,Animate,Animate
abuela,NOUN-ANIM,Noun,Animate,Animate
abuelos,NOUN-ANIM,Noun,Animate,Animate
abuelas,NOUN-ANIM,Noun,Animate,Animate
perro,NOUN-ANIM,Noun,Animate,Animate
perra,NOUN-ANIM,Noun,Animate,Animate
perros,NOUN-ANIM,Noun,Animate,Animate
perras,NOUN-ANIM,Noun,Animate,Animate
gato,NOUN-ANIM,Noun,Animate,Animate
gata,NOUN-ANIM,Noun,Animate,Animate
gatos,NOUN-ANIM,Noun,Animate,Animate
gatas,NOUN-ANIM,Noun,Animate,Animate
amigo,NOUN-ANIM,Noun,Animate,Animate
amiga,NOUN-ANIM,Noun,Animate,Animate
amigos,NOUN-ANIM,Noun,Animate,Animate
amigas,NOUN-ANIM,Noun,Animate,Animate
profesor,NOUN-ANIM,Noun,Animate,Animate
profesora,NOUN-ANIM,Noun,Animate,Animate
profesores,NOUN-ANIM,Noun,Animate,Animate
profesoras,NOUN-ANIM,Noun,Animate,Animate
niño,NOUN-ANIM,Noun,Animate,Animate
niña,NOUN-ANIM,Noun,Animate,Animate
niños,NOUN-ANIM,Noun,Animate,Animate
niñas,NOUN-ANIM,Noun,Animate,Animate
hermano,NOUN-ANIM,Noun,Animate,Animate
hermana,NOUN-ANIM,Noun,Animate,Animate
hermanos,NOUN-ANIM,Noun,Animate,Animate
hermanas,NOUN-ANIM,Noun,Animate,Animate
tío,NOUN-ANIM,Noun,Animate,Animate
tía,NOUN-ANIM,Noun,Animate,Animate
tíos,NOUN-ANIM,Noun,Animate,Animate
tías,NOUN-ANIM,Noun,Animate,Animate
hijo,NOUN-ANIM,Noun,Animate,Animate
hija,NOUN-ANIM,Noun,Animate,Animate
hijos,NOUN-ANIM,Noun,Animate,Animate
hijas,NOUN-ANIM,Noun,Animate,Animate
doctor,NOUN-ANIM,Noun,Animate,Animate
doctora,NOUN-ANIM,Noun,Animate,Animate
doctores,NOUN-ANIM,Noun,Animate,Animate
doctoras,NOUN-ANIM,Noun,Animate,Animate
león,NOUN-ANIM,Noun,Animate,Animate
leona,NOUN-ANIM,Noun,Animate,Animate
leones,NOUN-ANIM,Noun,Animate,Animate
leonas,NOUN-ANIM,Noun,Animate,Animate
oso,NOUN-ANIM,Noun,Animate,Animate
osa,NOUN-ANIM,Noun,Animate,Animate
osos,NOUN-ANIM,Noun,Animate,Animate
osas,NOUN-ANIM,Noun,Animate,Animate
empleado,NOUN-ANIM,Noun,Animate,Animate
empleada,NOUN-ANIM,Noun,Animate,Animate
empleados,NOUN-ANIM,Noun,Animate,Animate
empleadas,NOUN-ANIM,Noun,Animate,Animate
vecino,NOUN-ANIM,Noun,Animate,Animate
vecina,NOUN-ANIM,Noun,Animate,Animate
vecinos,NOUN-ANIM,Noun,Animate,Animate
vecinas,NOUN-ANIM,Noun,Animate,Animate
autor,NOUN-ANIM,Noun,Animate,Animate
autora,NOUN-ANIM,Noun,Animate,Animate
autores,NOUN-ANIM,Noun,Animate,Animate
autoras,NOUN-ANIM,Noun,Animate,Animate
esposo,NOUN-ANIM,Noun,Animate,Animate
esposa,NOUN-ANIM,Noun,Animate,Animate
esposos,NOUN-ANIM,Noun,Animate,Animate
esposas,NOUN-ANIM,Noun,Animate,Animate
jefe,NOUN-ANIM,Noun,Animate,Animate
jefa,NOUN-ANIM,Noun,Animate,Animate
jefes,NOUN-ANIM,Noun,Animate,Animate
jefas,NOUN-ANIM,Noun,Animate,Animate
primo,NOUN-ANIM,Noun,Animate,Animate
prima,NOUN-ANIM,Noun,Animate,Animate
primos,NOUN-ANIM,Noun,Animate,Animate
primas,NOUN-ANIM,Noun,Animate,Animate
padrino,NOUN-ANIM,Noun,Animate,Animate
madrina,NOUN-ANIM,Noun,Animate,Animate
padrinos,NOUN-ANIM,Noun,Animate,Animate
madrinas,NOUN-ANIM,Noun,Animate,Animate
ciego,NOUN-ANIM,Noun,Animate,Animate
ciega,NOUN-ANIM,Noun,Animate,Animate
ciegos,NOUN-ANIM,Noun,Animate,Animate
ciegas,NOUN-ANIM,Noun,Animate,Animate
cojo,NOUN-ANIM,Noun,Animate,Animate
coja,NOUN-ANIM,Noun,Animate,Animate
cojos,NOUN-ANIM,Noun,Animate,Animate
cojas,NOUN-ANIM,Noun,Animate,Animate
suegro,NOUN-ANIM,Noun,Animate,Animate
suegra,NOUN-ANIM,Noun,Animate,Animate
suegros,NOUN-ANIM,Noun,Animate,Animate
suegras,NOUN-ANIM,Noun,Animate,Animate
actor,NOUN-ANIM,Noun,Animate,Animate
actriz,NOUN-ANIM,Noun,Animate,Animate
actores,NOUN-ANIM,Noun,Animate,Animate
actrices,NOUN-ANIM,Noun,Animate,Animate
maestro,NOUN-ANIM,Noun,Animate,Animate
maestra,NOUN-ANIM,Noun,Animate,Animate
maestros,NOUN-ANIM,Noun,Animate,Animate
maestras,NOUN-ANIM,Noun,Animate,Animate
joven,NOUN-ANIM,Noun,Animate,Animate
joven,NOUN-ANIM,Noun,Animate,Animate
jóvenes,NOUN-ANIM,Noun,Animate,Animate
jóvenes,NOUN-ANIM,Noun,Animate,Animate
mesa,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
mesas,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
silla,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
sillas,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
libro,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
libros,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
bolígrafo,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
bolígrafos,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
ordenador,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
ordenadores,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
teléfono,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
teléfonos,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
coche,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
coches,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
puerta,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
puertas,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
ventana,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
ventanas,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
gafas,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
gafas,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
reloj,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
relojes,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
vaso,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
vasos,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
plato,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
platos,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
tenedor,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
tenedores,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
