Rows,Context,Context,Code,Noun Phrase
1,I found the small wooden box in the attic.,I found the small wooden box in the attic.,EN-2-01,The small wooden box
2,She carried a small metal box with the keys.,She carried a small metal box with the keys.,EN-2-02,A small metal box with the keys
3,The heavy iron table is hard to move.,The heavy iron table is hard to move.,EN-2-03,The heavy iron table
4,We placed that heavy glass table in the kitchen.,We placed that heavy glass table in the kitchen.,EN-2-04,That heavy glass table in the kitchen
5,An old stone bridge stands over the creek.,An old stone bridge stands over the creek.,EN-2-05,An old stone bridge
6,They crossed the old wooden bridge near the village.,They crossed the old wooden bridge near the village.,EN-2-06,The old wooden bridge near the village
7,I saw the small blue bird on the branch.,I saw the small blue bird on the branch.,EN-2-07,The small blue bird
8,A small red bird with white feathers flew away.,A small red bird with white feathers flew away.,EN-2-08,A small red bird with white feathers
9,The old leather chair feels very soft.,The old leather chair feels very soft.,EN-2-09,The old leather chair
10,He bought an old office chair from the market.,He bought an old office chair from the market.,EN-2-10,An old office chair from the market
11,A heavy winter coat is necessary today.,A heavy winter coat is necessary today.,EN-2-11,A heavy winter coat
12,She wore the heavy wool coat with the hood.,She wore the heavy wool coat with the hood.,EN-2-12,The heavy wool coat with the hood
13,I opened the small silver locket.,I opened the small silver locket.,EN-2-13,The small silver locket
14,It was a small gold locket for the picture.,It was a small gold locket for the picture.,EN-2-14,A small gold locket for the picture
15,The heavy cargo ship entered the harbor.,The heavy cargo ship entered the harbor.,EN-2-15,The heavy cargo ship
16,Look at that heavy steel ship in the distance.,Look at that heavy steel ship in the distance.,EN-2-16,That heavy steel ship in the distance
17,An old brick wall surrounds the garden.,An old brick wall surrounds the garden.,EN-2-17,An old brick wall
18,We painted the old garden wall with white paint.,We painted the old garden wall with white paint.,EN-2-18,The old garden wall with white paint
19,The small green frog jumped into the pond.,The small green frog jumped into the pond.,EN-2-19,The small green frog
20,A small spotted frog from the woods appeared.,A small spotted frog from the woods appeared.,EN-2-20,A small spotted frog from the woods
21,The heavy oak door was locked tight.,The heavy oak door was locked tight.,EN-2-21,The heavy oak door
22,I pushed that heavy front door with the handle.,I pushed that heavy front door with the handle.,EN-2-22,That heavy front door with the handle
23,An old yellow map was found in the book.,An old yellow map was found in the book.,EN-2-23,An old yellow map
24,Study the old city map on the wall.,Study the old city map on the wall.,EN-2-24,The old city map on the wall
25,The small round clock stopped ticking.,The small round clock stopped ticking.,EN-2-25,The small round clock
