Rows,Context,Context,Code,Noun Phrase
1,Şu eski ahşap ev çok bakımsız.,Şu eski ahşap ev çok bakımsız.,TR-2-01,Şu eski ahşap ev
2,Sahildeki o eski beyaz ev satıldı.,Sahildeki o eski beyaz ev satıldı.,TR-2-02,Sahildeki o eski beyaz ev
3,Bu büyük kırmızı kitap benimdir.,Bu büyük kırmızı kitap benimdir.,TR-2-03,Bu büyük kırmızı kitap
4,Masada duran büyük kalın kitap senin mi?,Masada duran büyük kalın kitap senin mi?,TR-2-04,Masada duran büyük kalın kitap
5,O yeni hızlı araba çok pahalı.,O yeni hızlı araba çok pahalı.,TR-2-05,O yeni hızlı araba
6,Garajdaki şu yeni mavi araba kimin?,Garajdaki şu yeni mavi araba kimin?,TR-2-06,Garajdaki şu yeni mavi araba
7,Bu eski deri çanta çok yıpranmış.,Bu eski deri çanta çok yıpranmış.,TR-2-07,Bu eski deri çanta
8,Yolda bulduğum eski siyah çanta boştu.,Yolda bulduğum eski siyah çanta boştu.,TR-2-08,Yolda bulduğum eski siyah çanta
9,O büyük taş bina kütüphanedir.,O büyük taş bina kütüphanedir.,TR-2-09,O büyük taş bina
10,Şehirdeki şu büyük cam bina çok modern.,Şehirdeki şu büyük cam bina çok modern.,TR-2-10,Şehirdeki şu büyük cam bina
11,Bu yeni akıllı saat harika çalışıyor.,Bu yeni akıllı saat harika çalışıyor.,TR-2-11,Bu yeni akıllı saat
12,Kutudaki o yeni gümüş saat bir hediye.,Kutudaki o yeni gümüş saat bir hediye.,TR-2-12,Kutudaki o yeni gümüş saat
13,Şu eski metal anahtar kapıyı açmıyor.,Şu eski metal anahtar kapıyı açmıyor.,TR-2-13,Şu eski metal anahtar
14,Dolapta duran eski paslı anahtar kayboldu.,Dolapta duran eski paslı anahtar kayboldu.,TR-2-14,Dolapta duran eski paslı anahtar
15,Bu büyük yeşil bahçe huzur veriyor.,Bu büyük yeşil bahçe huzur veriyor.,TR-2-15,Bu büyük yeşil bahçe
16,Evin yanındaki büyük çiçekli bahçe çok güzel.,Evin yanındaki büyük çiçekli bahçe çok güzel.,TR-2-16,Evin yanındaki büyük çiçekli bahçe
17,O yeni beyaz gömlek sana yakıştı.,O yeni beyaz gömlek sana yakıştı.,TR-2-17,O yeni beyaz gömlek
18,Askıdaki şu yeni ipek gömlek ütülendi.,Askıdaki şu yeni ipek gömlek ütülendi.,TR-2-18,Askıdaki şu yeni ipek gömlek
19,Bu eski ahşap masa tamir edilmeli.,Bu eski ahşap masa tamir edilmeli.,TR-2-19,Bu eski ahşap masa
20,Odadaki o eski çalışma masası babamındı.,Odadaki o eski çalışma masası babamındı.,TR-2-20,Odadaki o eski çalışma masası
21,Şu büyük gri kedi çok uykucu.,Şu büyük gri kedi çok uykucu.,TR-2-21,Şu büyük gri kedi
22,Bahçedeki o büyük tüylü kedi miyavlıyor.,Bahçedeki o büyük tüylü kedi miyavlıyor.,TR-2-22,Bahçedeki o büyük tüylü kedi
23,Bu yeni dijital oyun çok heyecanlı.,Bu yeni dijital oyun çok heyecanlı.,TR-2-23,Bu yeni dijital oyun
24,Telefondaki o yeni mobil oyun ücretsiz.,Telefondaki o yeni mobil oyun ücretsiz.,TR-2-24,Telefondaki o yeni mobil oyun
25,Şu eski resimli dergi rafta duruyor.,Şu eski resimli dergi rafta duruyor.,TR-2-25,Şu eski resimli dergi
